,sentence,target,target_type,category,polarity,opinin_Term
1268,The mussels were fantastic and so was the dessert ... definitely going to be back very soon .,dessert,explicit,FOOD QUALITY,positive,fantastic
1269,The mussels were fantastic and so was the dessert ... definitely going to be back very soon .,NULL,implicit,RESTAURANT GENERAL,positive,going to be back
1270,"if you 're daring , try the balsamic vinegar over icecream , it 's wonderful !",balsamic vinegar over icecream,explicit,FOOD QUALITY,positive,try
1271,"if you 're daring , try the balsamic vinegar over icecream , it 's wonderful !",balsamic vinegar over icecream,explicit,FOOD QUALITY,positive,wonderful
1272,"Overall , excellent restaurant !",restaurant,explicit,RESTAURANT GENERAL,positive,excellent
1273,My wife and I ate here earlier this week and have not stopped ranting and raving about the food .,food,explicit,FOOD QUALITY,positive,raving
1274,A little crowded but they move that line really fast !,NULL,implicit,SERVICE GENERAL,positive,fast
1275,A little crowded but they move that line really fast !,NULL,implicit,RESTAURANT MISCELLANEOUS,negative,crowded
1276,Go there once and oh yes ... you will go back ... you will ...,NULL,implicit,RESTAURANT GENERAL,positive,go back
1277,it is not consistent .,NULL,implicit,RESTAURANT GENERAL,negative,not consistent
1278,The pizza was delivered cold and the cheese was n't even fully melted !,pizza,explicit,FOOD QUALITY,negative,cold
1279,The pizza was delivered cold and the cheese was n't even fully melted !,cheese,explicit,FOOD QUALITY,negative,was n't even fully melted
1280,"The staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",staff,explicit,SERVICE GENERAL,positive,nice
1281,"The staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",staff,explicit,SERVICE GENERAL,negative,stressed
1282,"The staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",unisex bathroom,explicit,AMBIENCE GENERAL,negative,needs to be cleaned
1283,Unique apppetizers .,apppetizers,explicit,FOOD QUALITY,positive,Unique
1284,"On a recent Sunday afternoon , a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT .",restaurant,explicit,RESTAURANT GENERAL,positive,great
1285,"The service is ok , some of the people did n't get what they asked for .",service,explicit,SERVICE GENERAL,neutral,ok
1286,Simply some good tasting Chinese food at incredible prices ...,Chinese food,explicit,FOOD QUALITY,positive,good tasting
1287,Simply some good tasting Chinese food at incredible prices ...,Chinese food,explicit,FOOD PRICES,positive,good tasting
1288,"I 've been to at Cafe Spice probably 5-8 times , it is probably still the best Indian restaurant around Union Square .",Cafe Spice,explicit,RESTAURANT GENERAL,positive,best
1289,"La Rosa waltzes in , and I think they are doing it the best .",La Rosa,explicit,FOOD QUALITY,positive,best
1290,The design and atmosphere is just as good .,design,explicit,AMBIENCE GENERAL,positive,good
1291,The design and atmosphere is just as good .,atmosphere,explicit,AMBIENCE GENERAL,positive,good
1292,"Over the years the host , Vittorio , and his crew , have always treated me as family -- although with all the business this not-so-little gem does , it amazing he 's even able to remember a consistent but not-so-frequent visitor .",host,explicit,SERVICE GENERAL,positive,amazing
1293,"Over the years the host , Vittorio , and his crew , have always treated me as family -- although with all the business this not-so-little gem does , it amazing he 's even able to remember a consistent but not-so-frequent visitor .",crew,explicit,SERVICE GENERAL,positive,treated me as family
1294,But the pizza is way to expensive .,pizza,explicit,FOOD PRICES,negative,expensive
1295,"While their kitchen food is delicious , their Sushi is out of this world .",kitchen food,explicit,FOOD QUALITY,positive,delicious
1296,"While their kitchen food is delicious , their Sushi is out of this world .",Sushi,explicit,FOOD QUALITY,positive,out of this world
1297,Indoor was very cozy and cute .,Indoor,explicit,AMBIENCE GENERAL,positive,cozy
1298,Indoor was very cozy and cute .,Indoor,explicit,AMBIENCE GENERAL,positive,cute
1299,The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal .,brioche and lollies,explicit,FOOD QUALITY,positive,cute
1300,The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal .,brioche and lollies,explicit,FOOD QUALITY,positive,sweet
1301,The food is authentic Italian - delicious !,food,explicit,FOOD QUALITY,positive,authentic Italian
1302,The food is authentic Italian - delicious !,food,explicit,FOOD QUALITY,positive,delicious
1303,"This is some really good , inexpensive sushi .",sushi,explicit,FOOD QUALITY,positive,good
1304,"This is some really good , inexpensive sushi .",sushi,explicit,FOOD PRICES,positive,inexpensive
1305,We went around 9:30 on a Friday and it had died down a bit by then so the service was great !,service,explicit,SERVICE GENERAL,positive,great
1306,"Try everything for that matter , it is all good .",NULL,implicit,FOOD QUALITY,positive,all good
1307,The service was the only thing good about this restaurant .,service,explicit,SERVICE GENERAL,positive,good
1308,Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,Chow fun,explicit,FOOD QUALITY,negative,dry
1309,Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,pork shu mai,explicit,FOOD QUALITY,negative,greasy
1310,Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,NULL,implicit,AMBIENCE GENERAL,negative,loud
1311,Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,NULL,implicit,AMBIENCE GENERAL,negative,rude
1312,I had a grat time at Jekyll and Hyde !,Jekyll and Hyde,explicit,RESTAURANT GENERAL,positive,had a grat time
1313,I really recommend the very simple Unda ( Egg ) rolls .,Unda ( Egg ) rolls,explicit,FOOD QUALITY,positive,recommend
1314,I really recommend the very simple Unda ( Egg ) rolls .,Unda ( Egg ) rolls,explicit,FOOD QUALITY,positive,simple
1315,"Try the Pad Thai , or sample anything on the appetizer menu ... they 're all delicious .",Pad Thai,explicit,FOOD QUALITY,positive,Try
1316,"Try the Pad Thai , or sample anything on the appetizer menu ... they 're all delicious .",Pad Thai,explicit,FOOD QUALITY,positive,delicious
1317,"Try the Pad Thai , or sample anything on the appetizer menu ... they 're all delicious .",appetizer menu,explicit,FOOD QUALITY,positive,delicious
1318,"The view is spectacular , and the food is great .",view,explicit,LOCATION GENERAL,positive,spectacular
1319,"The view is spectacular , and the food is great .",food,explicit,FOOD QUALITY,positive,great
1320,It 's very spicy but not offensive .,NULL,implicit,FOOD QUALITY,positive,not offensive
1321,First went here to enjoy their garden terrace .,garden terrace,explicit,AMBIENCE GENERAL,positive,enjoy
1322,Best Taiwanese food in NY !,Taiwanese food,explicit,FOOD QUALITY,positive,Best
1323,The scallion pancakes and fried dumplings were nothing out of the ordinary .,scallion pancakes,explicit,FOOD QUALITY,neutral,ordinary
1324,The scallion pancakes and fried dumplings were nothing out of the ordinary .,fried dumplings,explicit,FOOD QUALITY,neutral,ordinary
1325,Their tuna tartar appetizer is to die for .,tuna tartar appetizer,explicit,FOOD QUALITY,positive,die for
1326,"It is nearly impossible to get a table , so if you ever have the chance to go here for dinner , DO NOT pass it up .",NULL,implicit,RESTAURANT GENERAL,positive,DO NOT pass it up
1327,"We liked it so much , that we will always make it a point to dine here when we visit New York .",NULL,implicit,RESTAURANT GENERAL,positive,liked
1328,"However , it is jus too good to not praise it .",NULL,implicit,RESTAURANT GENERAL,positive,good
1329,"However , it is jus too good to not praise it .",NULL,implicit,RESTAURANT GENERAL,positive,praise
1330,This place blew me away ... by far my new favorite restaurant on the uppereast side .,place,explicit,RESTAURANT GENERAL,positive,favorite
1331,I highly recommend to anyone to give this place a try .,place,explicit,RESTAURANT GENERAL,positive,recommend
1332,"There was a small wait , but shorter than I expected .",wait,explicit,SERVICE GENERAL,positive,small
1333,"There was a small wait , but shorter than I expected .",wait,explicit,SERVICE GENERAL,positive,shorter
1334,"the salads are delicious , both refreshing and very spicy .",salads,explicit,FOOD QUALITY,positive,delicious
1335,"the salads are delicious , both refreshing and very spicy .",salads,explicit,FOOD QUALITY,positive,refreshing
1336,"the salads are delicious , both refreshing and very spicy .",salads,explicit,FOOD QUALITY,positive,spicy
1337,Also very inexpensive .,NULL,implicit,RESTAURANT PRICES,positive,inexpensive
1338,"With so many good restaurants on the UWS , I do n't need overpriced food , absurdly arrogant wait-staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care .",food,explicit,FOOD PRICES,negative,overpriced
1339,"With so many good restaurants on the UWS , I do n't need overpriced food , absurdly arrogant wait-staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care .",wait-staff,explicit,SERVICE GENERAL,negative,arrogant
1340,"With so many good restaurants on the UWS , I do n't need overpriced food , absurdly arrogant wait-staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care .",service,explicit,SERVICE GENERAL,negative,clumsy
1341,"With so many good restaurants on the UWS , I do n't need overpriced food , absurdly arrogant wait-staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care .",management,explicit,SERVICE GENERAL,negative,does n't care
1342,The only thing more wonderful than the food ( which is exceptional ) is the service .,food,explicit,FOOD QUALITY,positive,exceptional
1343,The only thing more wonderful than the food ( which is exceptional ) is the service .,service,explicit,SERVICE GENERAL,positive,wonderful
1344,Do n't be fooled by crowds of people .,NULL,implicit,RESTAURANT MISCELLANEOUS,negative,fooled
1345,not sure why this restaurant would be rated that highly .,restaurant,explicit,RESTAURANT GENERAL,negative,highly
1346,"Bagels are ok , but be sure not to make any special requests !",Bagels,explicit,FOOD QUALITY,neutral,ok
1347,"Bagels are ok , but be sure not to make any special requests !",NULL,implicit,SERVICE GENERAL,negative,not to make any special requests
1348,I will be going back and heartily recommend it !,NULL,implicit,RESTAURANT GENERAL,positive,going back
1349,I will be going back and heartily recommend it !,NULL,implicit,RESTAURANT GENERAL,positive,heartily recommend
1350,Good drink .,drink,explicit,DRINKS QUALITY,positive,Good
1351,Great Indian food and the service is incredible .,Indian food,explicit,FOOD QUALITY,positive,Great
1352,Great Indian food and the service is incredible .,service,explicit,SERVICE GENERAL,positive,incredible
